id,gc,gc_skew,cpg_density,aa_lcr_fraction,nt_repeat_fraction,aa_len,cds_len
Phalacrocorax_carbo,0.40385,-0.01336,0.01426,0.04393,0.70751,865,2595
Gallus_gallus,0.41014,0.02247,0.01076,0.01613,0.68817,868,2604
Capricornis_sumatraensis,0.59769,-0.10874,0.04108,0.09809,0.66946,836,2508
Melozone_crissalis,0.44238,0.02972,0.01238,0.03016,0.71114,862,2586
Alexandromys_fortis,0.51292,-0.05118,0.01334,0.03,0.68083,800,2400
Myotis_brandtii,0.5069,-0.10726,0.02259,0.03513,0.63153,797,2391
Propithecus_coquereli,0.50301,-0.0941,0.02247,0.04813,0.67268,831,2493
Orycteropus_afer_afer,0.46633,-0.08484,0.00884,0.05934,0.65194,792,2376
Delphinapterus_leucas,0.6248,-0.0645,0.05988,0.14085,0.61659,852,2556
Ailuropoda_melanoleuca,0.5879,-0.06492,0.05605,0.08892,0.63743,821,2463
Sturnus_vulgaris,0.43162,0.0063,0.01244,0.01399,0.72339,858,2574
Strigops_habroptila,0.42254,-0.00171,0.0159,0.01733,0.71578,923,2769
Pseudorca_crassidens,0.62756,-0.06848,0.06197,0.13705,0.62176,861,2583
Monodon_monoceros,0.62613,-0.06474,0.06142,0.14168,0.61787,847,2541
Fulmarus_glacialis,0.40307,0.01711,0.01265,0.03218,0.71533,870,2610
Jaculus_jaculus,0.53325,-0.06687,0.02204,0.04447,0.67548,832,2496
Sus_scrofa,0.58563,-0.06224,0.03363,0.12102,0.65924,942,2826
Orcinus_orca,0.6206,-0.07548,0.05887,0.12195,0.62563,861,2583
Haliaeetus_albicilla,0.40583,0.02647,0.01266,0.02992,0.72497,869,2607
Manacus_candei,0.41628,0.00463,0.01196,0.04398,0.69406,864,2592
Melanerpes_formicivorus,0.449,-0.03936,0.01607,0.03735,0.7257,830,2490
Nyctibius_grandis,0.40961,0.01117,0.01412,0.04233,0.70328,874,2622
Microcaecilia_unicolor,0.39762,-0.02196,0.00595,0.05476,0.68016,840,2520
Neofelis_nebulosa,0.54278,-0.0632,0.0331,0.04358,0.65456,826,2478
Aquila_chrysaetos_chrysaetos,0.40736,0.0339,0.01381,0.02992,0.72305,869,2607
Myotis_daubentonii,0.51111,-0.10254,0.02349,0.03522,0.62558,795,2385
Homo_sapiens,0.47398,-0.07963,0.01153,0.01549,0.66706,839,2517
Mastomys_coucha,0.51894,-0.04136,0.01389,0.0202,0.71591,792,2376
Camelus_dromedarius,0.59442,-0.10832,0.04556,0.14252,0.66784,849,2547
Camelus_ferus,0.58788,-0.09794,0.04433,0.13864,0.67462,880,2640
Molothrus_aeneus,0.43692,0.03506,0.0125,0.0,0.72068,827,2481
Phaethon_lepturus,0.39931,-0.01249,0.01266,0.01496,0.70656,869,2607
Poecile_atricapillus,0.42747,0.02166,0.01235,0.0,0.71644,864,2592
Cuculus_canorus,0.40077,0.01923,0.01234,0.01387,0.69904,865,2595
Mus_musculus,0.49875,-0.0536,0.00961,0.04887,0.68755,798,2394
Balaenoptera_ricei,0.60724,-0.05269,0.05944,0.12447,0.62658,948,2844
Lepidothrix_coronata,0.41628,0.01205,0.01196,0.05093,0.7064,864,2592
Moschus_berezovskii,0.58056,-0.09538,0.03395,0.0761,0.63737,933,2799
Sorex_fumeus,0.56071,-0.13093,0.03414,0.06548,0.6754,840,2520
Lagopus_leucura,0.41957,0.03963,0.01586,0.01392,0.69644,862,2586
Phoca_vitulina,0.56367,-0.08777,0.04625,0.05231,0.64801,822,2466
Anser_cygnoides,0.43044,-0.01105,0.023,0.01427,0.696,841,2523
Corvus_moneduloides,0.42857,0.00741,0.0135,0.02976,0.70913,840,2520
Mesoplodon_densirostris,0.62821,-0.06002,0.0645,0.1267,0.6463,884,2652
Arvicanthis_niloticus,0.50209,-0.03328,0.01128,0.03133,0.69841,798,2394
Cygnus_olor,0.42588,-0.00631,0.01844,0.02765,0.70469,868,2604
Pezoporus_occidentalis,0.42079,-0.00334,0.01265,0.0274,0.69723,949,2847
Nanorana_parkeri,0.44643,0.0,0.01786,0.08673,0.64116,784,2352
Chiroxiphia_lanceolata,0.41705,0.01943,0.01312,0.05324,0.71875,864,2592
Callorhinus_ursinus,0.56204,-0.08658,0.04422,0.05231,0.63179,822,2466
Lynx_canadensis,0.54237,-0.06845,0.0331,0.03995,0.65537,826,2478
Buceros_rhinoceros_silvestris,0.41434,0.029,0.01473,0.0186,0.70078,860,2580
Protopterus_annectens,0.39559,-0.00398,0.00788,0.01537,0.70213,846,2538
Arvicola_amphibius,0.50375,-0.04549,0.01084,0.02,0.66958,800,2400
Manacus_vitellinus,0.41816,0.01143,0.01315,0.0454,0.70131,837,2511
Apodemus_sylvaticus,0.5202,-0.06149,0.01389,0.03283,0.70455,792,2376
Hipposideros_armiger,0.51257,-0.09003,0.02679,0.07787,0.61805,809,2427
Trachypithecus_francoisi,0.47849,-0.07395,0.01207,0.01448,0.6546,829,2487
Balearica_regulorum_gibbericeps,0.40333,0.02013,0.01509,0.03016,0.69374,862,2586
Ictidomys_tridecemlineatus,0.45809,-0.08936,0.00897,0.03509,0.66082,855,2565
Chinchilla_lanigera,0.5225,-0.03769,0.02603,0.06751,0.69093,948,2844
Dromiciops_gliroides,0.48525,-0.03247,0.02142,0.04364,0.69778,825,2475
Marmota_marmota_marmota,0.46667,-0.07602,0.00975,0.03509,0.64639,855,2565
Hyperolius_riggenbachi,0.47446,-0.01853,0.02556,0.05151,0.71692,796,2388
Hylobates_moloch,0.48005,-0.06927,0.01605,0.05047,0.67214,852,2556
Bos_indicus_x_Bos_taurus,0.58835,-0.10354,0.03747,0.1101,0.66856,881,2643
Rousettus_aegyptiacus,0.49261,-0.08853,0.02276,0.05461,0.63633,879,2637
Gopherus_evgoodei,0.37984,-0.05981,0.00781,0.0639,0.6688,939,2817
Hirundo_rustica,0.42785,0.02545,0.01323,0.014,0.71684,857,2571
Panthera_uncia,0.54439,-0.07042,0.03189,0.03148,0.65658,826,2478
Suricata_suricatta,0.55919,-0.06825,0.03545,0.01636,0.64681,856,2568
Lagopus_muta,0.41416,0.02974,0.01386,0.01732,0.68245,866,2598
Corvus_hawaiiensis,0.42511,0.00935,0.01192,0.01549,0.70679,839,2517
Lonchura_striata,0.42885,0.03156,0.00967,0.02204,0.72196,862,2586
Sarcophilus_harrisii,0.46145,-0.03046,0.02009,0.05783,0.6739,830,2490
Spea_bombifrons,0.45644,0.00855,0.03643,0.07152,0.67447,769,2307
Choloepus_didactylus,0.57205,-0.05052,0.04079,0.05344,0.67379,842,2526
Empidonax_traillii,0.42818,-0.00362,0.01239,0.05226,0.73171,861,2583
Haemorhous_mexicanus,0.43089,0.02965,0.01356,0.03717,0.7259,861,2583
Nomascus_leucogenys,0.48005,-0.07253,0.01683,0.05047,0.66667,852,2556
Meriones_unguiculatus,0.55243,-0.05465,0.02653,0.01469,0.69523,817,2451
Sciurus_carolinensis,0.47089,-0.06722,0.0129,0.034,0.6569,853,2559
Melospiza_melodia_melodia,0.44586,0.03036,0.01354,0.0,0.71964,862,2586
Mustela_nigripes,0.54831,-0.09104,0.03786,0.03623,0.67593,828,2484
Alligator_mississippiensis,0.39456,-0.01014,0.01001,0.01441,0.64466,833,2499
Neopelma_chrysocephalum,0.4129,0.01029,0.01121,0.03592,0.70529,863,2589
Alligator_sinensis,0.39643,-0.01301,0.01032,0.0,0.64286,840,2520
Cricetulus_griseus,0.50375,-0.04218,0.01167,0.04125,0.6775,800,2400
Pogoniulus_pusillus,0.43522,-0.0212,0.01231,0.05652,0.71511,867,2601
Saimiri_boliviensis,0.50181,-0.07212,0.02454,0.03257,0.64938,829,2487
Miniopterus_natalensis,0.49425,-0.118,0.01661,0.03065,0.6143,783,2349
Bubalus_bubalis,0.59021,-0.11551,0.03919,0.06667,0.67458,885,2655
Nestor_notabilis,0.41312,-0.00464,0.01305,0.01841,0.71653,869,2607
Panthera_onca,0.54641,-0.06942,0.03472,0.04358,0.65981,826,2478
